Date,Inflow,Storage,Outflow,Season,Spring,Summer,Fall,Winter,Inflow(t-1),Inflow(t-2),Inflow(t-3),Inflow(3day),Inflow(t+1),Inflow(t+2),Inflow(t+3),Inflow(7day),Inflow(14day),Inflow(21day),Inflow(28day),Inflow(7dayForecast),Outflow(7day),Outflow(14day),Outflow(21day),Outflow(28day)
19950204,0.004417190082644628,0.379519,6.743801652892562e-05,4,0,0,0,1,0.0037785123966942147,0.0037785123966942147,0.0028403305785123967,0.014814545454545454,0.004004628099173554,0.00408595041322314,0.002832396694214876,0.004232443919716647,0.004585785123966944,0.00550063754427391,0.00593624557260921,0.00362125147579693,6.432113341204249e-05,7.097992916174734e-05,0.0007808264462809916,0.0006025501770956318
19950205,0.004004628099173554,0.383444,6.545454545454545e-05,4,0,0,0,1,0.004417190082644628,0.0037785123966942147,0.0037785123966942147,0.01597884297520661,0.00408595041322314,0.002832396694214876,0.002832396694214876,0.00396099173553719,0.00460391971664699,0.005326469893742623,0.006001204250295161,0.0035515466351829987,6.403778040141676e-05,7.097992916174734e-05,7.178276269185359e-05,0.0006025501770956318
19950206,0.00408595041322314,0.387462,6.545454545454545e-05,4,0,0,0,1,0.004004628099173554,0.004417190082644628,0.0037785123966942147,0.016286280991735534,0.002832396694214876,0.002832396694214876,0.0038499173553719008,0.003787863046044864,0.004625029515938607,0.005154002361275089,0.006051428571428573,0.0034807083825265646,6.517119244391972e-05,7.083825265643447e-05,7.102715466351828e-05,0.0006024793388429752
19950207,0.002832396694214876,0.390605,6.545454545454545e-05,4,0,0,0,1,0.00408595041322314,0.004004628099173554,0.004417190082644628,0.015340165289256198,0.002832396694214876,0.0038499173553719008,0.0038717355371900826,0.003748760330578512,0.004656906729634002,0.004990035419126329,0.006058512396694215,0.003816481700118064,6.630460448642266e-05,7.069657615112159e-05,7.008264462809915e-05,0.0006026210153482881
19950208,0.002832396694214876,0.393367,6.545454545454545e-05,4,0,0,0,1,0.002832396694214876,0.00408595041322314,0.004004628099173554,0.013755371900826447,0.0038499173553719008,0.0038717355371900826,0.0038717355371900826,0.0036767886658795744,0.004606753246753247,0.0045419598583234955,0.006056883116883118,0.0041522550177095635,6.715466351829989e-05,6.772136953955135e-05,6.951593860684768e-05,0.000602762691853601
19950209,0.0038499173553719008,0.397148,6.545454545454545e-05,4,0,0,0,1,0.002832396694214876,0.002832396694214876,0.00408595041322314,0.013600661157024792,0.0038717355371900826,0.0038717355371900826,0.003516694214876033,0.003675655253837072,0.004404297520661157,0.0044102007083825275,0.005674356552538373,0.004142621015348289,6.687131050767414e-05,6.545454545454545e-05,6.942148760330575e-05,0.0006025501770956317
19950210,0.0038717355371900826,0.40055,6.545454545454545e-05,4,0,0,0,1,0.0038499173553719008,0.002832396694214876,0.002832396694214876,0.013386446280991735,0.0038717355371900826,0.003516694214876033,0.0035900826446280992,0.0036858559622195983,0.0041644391971664705,0.00432689492325856,0.005328170011806376,0.00412987012987013,6.630460448642268e-05,6.531286894923258e-05,6.932703659976385e-05,0.0006023376623376624
19950211,0.0038717355371900826,0.404331,6.545454545454545e-05,4,0,0,0,1,0.0038717355371900826,0.0038499173553719008,0.002832396694214876,0.014425785123966943,0.003516694214876033,0.0035900826446280992,0.005182809917355372,0.003699173553719008,0.003965808736717828,0.0042902479338842985,0.005050271546635184,0.004077166469893743,6.573789846517118e-05,6.502951593860685e-05,6.923258559622195e-05,0.0006020543093270366
19950212,0.003516694214876033,0.407764,6.347107438016529e-05,4,0,0,0,1,0.0038717355371900826,0.0038717355371900826,0.0038499173553719008,0.015110082644628098,0.0035900826446280992,0.005182809917355372,0.005182809917355372,0.0036212514757969307,0.003791121605667061,0.004276363636363638,0.0049001652892562,0.004082833530106258,6.545454545454545e-05,6.47461629279811e-05,6.913813459268003e-05,7.020070838252655e-05
19950213,0.0035900826446280992,0.411286,6.347107438016529e-05,4,0,0,0,1,0.003516694214876033,0.0038717355371900826,0.0038717355371900826,0.014850247933884297,0.005182809917355372,0.005182809917355372,0.003782479338842975,0.003551546635182999,0.0036697048406139324,0.004267201889020071,0.004753388429752066,0.004049964580873672,6.517119244391972e-05,6.517119244391972e-05,6.894923258559622e-05,6.956316410861863e-05
19950214,0.005182809917355372,0.415008,6.743801652892562e-05,4,0,0,0,1,0.0035900826446280992,0.003516694214876033,0.0038717355371900826,0.016161322314049587,0.005182809917355372,0.003782479338842975,0.003782479338842975,0.0034807083825265646,0.003614734356552539,0.0042648406139315235,0.004612703659976388,0.003871735537190082,6.488783943329398e-05,6.559622195985832e-05,6.876033057851241e-05,6.878394332939787e-05
19950215,0.005182809917355372,0.420121,6.743801652892562e-05,4,0,0,0,1,0.005182809917355372,0.0035900826446280992,0.003516694214876033,0.017472396694214878,0.003782479338842975,0.003782479338842975,0.0035028099173553717,0.003816481700118064,0.00374663518299882,0.004343329397874853,0.004360590318772138,0.003716741440377804,6.517119244391972e-05,6.61629279811098e-05,6.687131050767416e-05,6.84297520661157e-05
19950216,0.003782479338842975,0.424071,6.545454545454545e-05,4,0,0,0,1,0.005182809917355372,0.005182809917355372,0.0035900826446280992,0.01773818181818182,0.003782479338842975,0.0035028099173553717,0.003556363636363636,0.004152255017709563,0.003913955135773318,0.004320283353010625,0.004345714285714286,0.003756127508854782,6.545454545454545e-05,6.616292798110978e-05,6.545454545454545e-05,6.842975206611569e-05
19950217,0.003782479338842975,0.427777,6.545454545454545e-05,4,0,0,0,1,0.003782479338842975,0.005182809917355372,0.005182809917355372,0.017930578512396694,0.0035028099173553717,0.003556363636363636,0.00336,0.004142621015348289,0.0039142384887839434,0.004157166469893742,0.004280826446280992,0.00380741440377804,6.545454545454545e-05,6.587957497048405e-05,6.536009445100355e-05,6.835891381345927e-05
