yyyymm,Inflow,Outflow,Storage,Season,Spring,Summer,Fall,Winter,Inflow(1month),Inflow(2month),Inflow(1monthForecast),Outflow(1month),Outflow(2month)
199504,0.02252433445517019,0.030174907617925694,0.7748954407744033,1,1,0,0,0,0.023920522250742742,0.017771583677589915,0.032080151793015294,0.02312420818425365,0.01629644930328629
199505,0.032080151793015294,0.039281237843459486,0.5992564201088697,1,1,0,0,0,0.02252433445517019,0.023222428352956466,0.045003982714226363,0.030174907617925694,0.026649557901089672
199506,0.045003982714226363,0.030222829112009096,0.7070623688049241,1,1,0,0,0,0.032080151793015294,0.02730224312409274,0.04306137084759039,0.039281237843459486,0.03472807273069259
199507,0.04306137084759039,0.04183430925898833,0.9872153149444215,2,0,1,0,0,0.045003982714226363,0.03854206725362083,0.01616008129500401,0.030222829112009096,0.03475203347773429
199508,0.01616008129500401,0.02229531362882162,0.9131457732949088,2,0,1,0,0,0.04306137084759039,0.04403267678090837,0.007323011988182678,0.04183430925898833,0.03602856918549871
199509,0.007323011988182678,0.012610611359002426,0.6735967923819071,2,0,1,0,0,0.01616008129500401,0.0296107260712972,0.006818813881952473,0.02229531362882162,0.032064811443904974
199510,0.006818813881952473,0.009240076140783504,0.5778220073750426,3,0,0,1,0,0.007323011988182678,0.011741546641593345,0.0045660693918488,0.012610611359002426,0.017452962493912025
199511,0.0045660693918488,0.005513664282330774,0.5157907282883268,3,0,0,1,0,0.006818813881952473,0.007070912935067576,0.0050154501084550855,0.009240076140783504,0.010925343749892964
199512,0.0050154501084550855,0.0025451264015581543,0.5468068452698617,3,0,0,1,0,0.0045660693918488,0.005692441636900636,0.005459921268147623,0.005513664282330774,0.007376870211557139
199601,0.005459921268147623,0.00195148838586093,0.6333132290380129,4,0,0,0,1,0.0050154501084550855,0.004790759750151943,0.012084179901837747,0.0025451264015581543,0.004029395341944464
199602,0.012084179901837747,0.006778068669606527,0.7931785265646938,4,0,0,0,1,0.005459921268147623,0.005237685688301354,0.01791679788011986,0.00195148838586093,0.002248307393709542
199603,0.01791679788011986,0.014587372281896778,0.9161277286428833,4,0,0,0,1,0.012084179901837747,0.008772050584992686,0.017066996927620454,0.006778068669606527,0.004364778527733729
199604,0.017066996927620454,0.020229245560133696,0.9399338456612232,1,1,0,0,0,0.01791679788011986,0.015000488890978804,0.025274413508943244,0.014587372281896778,0.010682720475751653
199605,0.025274413508943244,0.022835868244932958,0.8755030163304516,1,1,0,0,0,0.017066996927620454,0.01749189740387016,0.025286907359667155,0.020229245560133696,0.017408308921015237
199606,0.025286907359667155,0.02329640619469245,0.967385405280069,1,1,0,0,0,0.025274413508943244,0.02117070521828185,0.012840472127701586,0.022835868244932958,0.021532556902533327
199607,0.012840472127701586,0.020748419057511656,0.8164969167363887,2,0,1,0,0,0.025286907359667155,0.0252806604343052,0.008331112010860503,0.02329640619469245,0.023066137219812703
199608,0.008331112010860503,0.014857170076452235,0.5571698751200768,2,0,1,0,0,0.012840472127701586,0.01906368974368437,0.00784680266996222,0.020748419057511656,0.02202241262610205
199609,0.00784680266996222,0.00847105232748408,0.4641402497598463,2,0,1,0,0,0.008331112010860503,0.010585792069281045,0.002891098945592003,0.014857170076452235,0.017802794566981944
199610,0.002891098945592003,0.005088649888230711,0.4109171126663922,3,0,0,1,0,0.00784680266996222,0.008088957340411361,0.006281715769166646,0.00847105232748408,0.011664111201968157
199611,0.006281715769166646,0.0010791911782218305,0.4419203073967339,3,0,0,1,0,0.002891098945592003,0.005368950807777112,0.012655960331807773,0.005088649888230711,0.006779851107857395
199612,0.012655960331807773,0.0020882654154857454,0.6903678225031762,3,0,0,1,0,0.006281715769166646,0.004586407357379325,0.03451696953819039,0.0010791911782218305,0.003083920533226271
199701,0.03451696953819039,0.03475348719047959,0.8522692820179109,4,0,0,0,1,0.012655960331807773,0.00946883805048721,0.01294346209200807,0.0020882654154857454,0.001583728296853788
199702,0.01294346209200807,0.02564630548911398,0.7019492932619734,4,0,0,0,1,0.03451696953819039,0.02358646493499908,0.015254491213486201,0.03475348719047959,0.01842087630298267
199703,0.015254491213486201,0.014832486553057515,0.5122691580676149,4,0,0,0,1,0.01294346209200807,0.02373021581509923,0.015898254221544762,0.02564630548911398,0.030199896339796785
199704,0.015898254221544762,0.014103158914267114,0.5536245917387127,1,1,0,0,0,0.015254491213486201,0.014098976652747137,0.024487087785236138,0.014832486553057515,0.020239396021085748
199705,0.024487087785236138,0.012733895360852858,0.7920339004059372,1,1,0,0,0,0.015898254221544762,0.015576372717515483,0.02008202538881082,0.014103158914267114,0.014467822733662315
199706,0.02008202538881082,0.019280761505545366,0.9786243355747678,1,1,0,0,0,0.024487087785236138,0.02019267100339045,0.009294686450568032,0.012733895360852858,0.013418527137559987
199707,0.009294686450568032,0.019245957081953938,0.7896955491514569,2,0,1,0,0,0.02008202538881082,0.02228455658702348,0.007993410111339881,0.019280761505545366,0.016007328433199113
199708,0.007993410111339881,0.013259933493371923,0.5410686011461128,2,0,1,0,0,0.009294686450568032,0.014688355919689425,0.00887195242972031,0.019245957081953938,0.01926335929374965
199709,0.00887195242972031,0.010274799342653679,0.46031040666026257,2,0,1,0,0,0.007993410111339881,0.008644048280953956,0.005119495512051733,0.013259933493371923,0.01625294528766293
199710,0.005119495512051733,0.008854968166029884,0.35462836602522385,3,0,0,1,0,0.00887195242972031,0.008432681270530096,0.004278237188357972,0.010274799342653679,0.011767366418012801
199711,0.004278237188357972,0.0030923200366615943,0.32615316837258607,3,0,0,1,0,0.005119495512051733,0.0069957239708860215,0.004215454443382136,0.008854968166029884,0.009564883754341781
199712,0.004215454443382136,0.0018841205951501997,0.38200048030739675,3,0,0,1,0,0.004278237188357972,0.004698866350204852,0.0076131282014219506,0.0030923200366615943,0.005973644101345739
199801,0.0076131282014219506,0.0009617426740460717,0.5116670310377952,4,0,0,0,1,0.004215454443382136,0.004246845815870055,0.01639816204133731,0.0018841205951501997,0.002488220315905897
199802,0.01639816204133731,0.013455169986477295,0.6905550295045971,4,0,0,0,1,0.0076131282014219506,0.005914291322402043,0.015639634490040567,0.0009617426740460717,0.0014229316345981357
199803,0.015639634490040567,0.01175004961853272,0.7139734229907141,4,0,0,0,1,0.01639816204133731,0.01200564512137963,0.01706314680323877,0.013455169986477295,0.007208456330261684
199804,0.01706314680323877,0.021203147443831137,0.7933569843320415,1,1,0,0,0,0.015639634490040567,0.01601889826568894,0.018627733981152896,0.01175004961853272,0.012602609802505008
199805,0.018627733981152896,0.020851660434578957,0.6650227345501121,1,1,0,0,0,0.01706314680323877,0.016351390646639666,0.04524697710210796,0.021203147443831137,0.016476598531181927
199806,0.04524697710210796,0.0352827763601706,0.7984192255457285,1,1,0,0,0,0.018627733981152896,0.017845440392195832,0.038844268123807035,0.020851660434578957,0.021027403939205047
199807,0.038844268123807035,0.03573949759959716,0.980517565527652,2,0,1,0,0,0.04524697710210796,0.03193735554163043,0.01196673749987871,0.0352827763601706,0.028067218397374777
199808,0.01196673749987871,0.016135082375585388,0.922839435016188,2,0,1,0,0,0.038844268123807035,0.042045622612957495,0.011220234834591659,0.03573949759959716,0.03551113697988388
199809,0.011220234834591659,0.011587459610514366,0.84242106948447,2,0,1,0,0,0.01196673749987871,0.025405502811842874,0.0050367335921436,0.016135082375585388,0.025937289987591275
199810,0.0050367335921436,0.00850815728677924,0.8026724943964137,3,0,0,1,0,0.011220234834591659,0.011593486167235184,0.006095492142125624,0.011587459610514366,0.013861270993049877
199811,0.006095492142125624,0.0038935861099864246,0.7764127898998215,3,0,0,1,0,0.0050367335921436,0.00812848421336763,0.007049432351180896,0.00850815728677924,0.010047808448646802
199812,0.007049432351180896,0.007052259647187263,0.7955163459452759,3,0,0,1,0,0.006095492142125624,0.005566112867134612,0.005682030832672698,0.0038935861099864246,0.006200871698382833
199901,0.005682030832672698,0.003162203266997608,0.8301992116333764,4,0,0,0,1,0.007049432351180896,0.00657246224665326,0.008036333590433669,0.007052259647187263,0.005472922878586844
199902,0.008036333590433669,0.00985960856015873,0.864397177270376,4,0,0,0,1,0.005682030832672698,0.006365731591926797,0.007457177605664426,0.003162203266997608,0.005107231457092435
199903,0.007457177605664426,0.005483110363653266,0.8523502835363019,4,0,0,0,1,0.008036333590433669,0.006859182211553183,0.010166809873385719,0.00985960856015873,0.00651090591357817
199904,0.010166809873385719,0.006303636107146718,0.9522242146084605,1,1,0,0,0,0.007457177605664426,0.007746755598049047,0.012940779672970972,0.005483110363653266,0.007671359461905999
199905,0.012940779672970972,0.0122177294508208,0.9925748194973816,1,1,0,0,0,0.010166809873385719,0.008811993739525072,0.015982969087501443,0.006303636107146718,0.0058933732353999915
199906,0.015982969087501443,0.016621115326905214,0.9974012414098868,1,1,0,0,0,0.012940779672970972,0.011553794773178345,0.008094478222851292,0.0122177294508208,0.009260682778983759
199907,0.008094478222851292,0.0196052519657445,0.8005546864278852,2,0,1,0,0,0.015982969087501443,0.014461874380236207,0.008918315986694294,0.016621115326905214,0.014419422388863005
199908,0.008918315986694294,0.014243773866514238,0.5104838936919628,2,0,1,0,0,0.008094478222851292,0.012038723655176367,0.0076584974714395725,0.0196052519657445,0.018113183646324856
199909,0.0076584974714395725,0.007280602726240662,0.4560203009926353,2,0,1,0,0,0.008918315986694294,0.008506397104772793,0.004175611006033887,0.014243773866514238,0.01692451291612937
199910,0.004175611006033887,0.0050407720616315555,0.4180976514624532,3,0,0,1,0,0.0076584974714395725,0.008288406729066933,0.002440952577275561,0.007280602726240662,0.01076218829637745
